Transaction ID,Timestamp,Register,SKU,Item Name,Department,Qty,Unit Price,Line Total
T250901-0014,9/1/2025 9:06:53 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250901-0014,9/1/2025 9:06:53 AM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,2,5.25,10.50
T250901-0015,9/1/2025 9:12:11 AM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,2,3.25,6.50
T250901-0015,9/1/2025 9:12:11 AM,REG2,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250901-0016,9/1/2025 9:37:29 AM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0017,9/1/2025 9:48:50 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0018,9/1/2025 9:49:31 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0019,9/1/2025 10:01:26 AM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,2,5.25,10.50
T250901-0020,9/1/2025 10:08:44 AM,REG1,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,2,5.00,10.00
T250901-0020,9/1/2025 10:08:44 AM,REG1,LG-MARM-01,Satsuma Marmalade,Local Goods,1,9.50,9.50
T250901-0020,9/1/2025 10:08:44 AM,REG1,AP-TOTE-01,Canvas Beach Tote,Apparel,1,30.00,30.00
T250901-0021,9/1/2025 10:18:40 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250901-0021,9/1/2025 10:18:40 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250901-0022,9/1/2025 10:21:47 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,2,4.75,9.50
T250901-0023,9/1/2025 10:27:36 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250901-0023,9/1/2025 10:27:36 AM,REG1,HG-FRAME-01,Driftwood Picture Frame,Home & Gifts,1,28.00,28.00
T250901-0024,9/1/2025 10:48:11 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,2,4.75,9.50
T250901-0025,9/1/2025 11:06:10 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250901-0025,9/1/2025 11:06:10 AM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250901-0025,9/1/2025 11:06:10 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0026,9/1/2025 11:14:55 AM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0027,9/1/2025 11:34:54 AM,REG2,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250901-0027,9/1/2025 11:34:54 AM,REG2,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250901-0028,9/1/2025 11:50:32 AM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250901-0028,9/1/2025 11:50:32 AM,REG2,LG-SALT-01,Gulf Sea Salt,Local Goods,1,8.00,8.00
T250901-0029,9/1/2025 11:54:07 AM,REG2,HG-FRAME-01,Driftwood Picture Frame,Home & Gifts,2,28.00,56.00
T250901-0029,9/1/2025 11:54:07 AM,REG2,AP-HOOD-01,Eastern Shore Hoodie,Apparel,1,48.00,48.00
T250901-0030,9/1/2025 12:11:02 PM,REG2,HG-COAST-04,Pelican Coaster Set (4),Home & Gifts,1,22.00,22.00
T250901-0030,9/1/2025 12:11:02 PM,REG2,LG-MARM-01,Satsuma Marmalade,Local Goods,1,9.50,9.50
T250901-0031,9/1/2025 12:12:05 PM,REG1,LG-HONEY-01,Tupelo Honey 12 oz,Local Goods,1,14.00,14.00
T250901-0032,9/1/2025 12:45:13 PM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0032,9/1/2025 12:45:13 PM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,2,5.25,10.50
T250901-0033,9/1/2025 12:49:36 PM,REG1,LG-MARM-01,Satsuma Marmalade,Local Goods,1,9.50,9.50
T250901-0033,9/1/2025 12:49:36 PM,REG1,HG-COAST-04,Pelican Coaster Set (4),Home & Gifts,1,22.00,22.00
T250901-0033,9/1/2025 12:49:36 PM,REG1,HG-TOWEL-01,Coastal Tea Towel,Home & Gifts,1,14.00,14.00
T250901-0034,9/1/2025 1:28:56 PM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250901-0034,9/1/2025 1:28:56 PM,REG1,AP-KIDS-01,Kids Crab Tee,Apparel,1,20.00,20.00
T250901-0035,9/1/2025 1:38:06 PM,REG1,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,2,5.00,10.00
T250901-0036,9/1/2025 1:54:12 PM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,2,3.25,6.50
T250901-0036,9/1/2025 1:54:12 PM,REG1,HG-TOWEL-01,Coastal Tea Towel,Home & Gifts,1,14.00,14.00
T250901-0037,9/1/2025 2:00:39 PM,REG2,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250901-0037,9/1/2025 2:00:39 PM,REG2,LG-HOTS-01,Bayou Heat Hot Sauce,Local Goods,1,7.50,7.50
T250901-0038,9/1/2025 2:02:29 PM,REG1,AP-HAT-01,Pelican Trucker Hat,Apparel,1,24.00,24.00
T250901-0038,9/1/2025 2:02:29 PM,REG1,LG-HOTS-01,Bayou Heat Hot Sauce,Local Goods,1,7.50,7.50
T250901-0038,9/1/2025 2:02:29 PM,REG1,LG-HONEY-01,Tupelo Honey 12 oz,Local Goods,1,14.00,14.00
T250901-0039,9/1/2025 2:03:55 PM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,2,5.25,10.50
T250901-0039,9/1/2025 2:03:55 PM,REG2,LG-HONEY-01,Tupelo Honey 12 oz,Local Goods,1,14.00,14.00
T250901-0040,9/1/2025 2:10:34 PM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250901-0040,9/1/2025 2:10:34 PM,REG1,LG-PRALN-06,Pecan Pralines (6-pack),Local Goods,1,12.00,12.00
T250901-0041,9/1/2025 2:45:31 PM,REG1,AP-KIDS-01,Kids Crab Tee,Apparel,1,20.00,20.00
T250901-0041,9/1/2025 2:45:31 PM,REG1,AP-TOTE-01,Canvas Beach Tote,Apparel,3,30.00,90.00
T250901-0041,9/1/2025 2:45:31 PM,REG1,LG-SALT-01,Gulf Sea Salt,Local Goods,1,8.00,8.00
T250901-0041,9/1/2025 2:45:31 PM,REG1,AP-TEE-01,Bayside Logo Tee,Apparel,1,26.00,26.00
T250901-0042,9/1/2025 2:45:36 PM,REG1,LG-PRALN-06,Pecan Pralines (6-pack),Local Goods,1,12.00,12.00
T250901-0043,9/1/2025 2:48:11 PM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0044,9/1/2025 2:59:37 PM,REG2,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250901-0045,9/1/2025 3:02:13 PM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250901-0045,9/1/2025 3:02:13 PM,REG1,AP-TEE-01,Bayside Logo Tee,Apparel,1,26.00,26.00
T250901-0046,9/1/2025 3:18:56 PM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250901-0047,9/1/2025 3:36:53 PM,REG1,AP-KREWE-01,Krewe Tee,Apparel,1,28.00,28.00
T250901-0047,9/1/2025 3:36:53 PM,REG1,LG-CNDL-01,Magnolia Bay Soy Candle,Local Goods,1,24.00,24.00
T250901-0048,9/1/2025 3:50:22 PM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250901-0049,9/1/2025 3:52:05 PM,REG2,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250901-0049,9/1/2025 3:52:05 PM,REG2,HG-TOWEL-01,Coastal Tea Towel,Home & Gifts,1,14.00,14.00
T250901-0050,9/1/2025 4:03:05 PM,REG1,HG-BEADS-01,Mardi Gras Bead Garland,Home & Gifts,1,16.00,16.00
T250901-0051,9/1/2025 4:06:36 PM,REG1,LG-PRALN-06,Pecan Pralines (6-pack),Local Goods,1,12.00,12.00
T250901-0051,9/1/2025 4:06:36 PM,REG1,AP-TEE-01,Bayside Logo Tee,Apparel,1,26.00,26.00
T250901-0051,9/1/2025 4:06:36 PM,REG1,LG-MARM-01,Satsuma Marmalade,Local Goods,2,9.50,19.00
T250901-0052,9/1/2025 4:09:09 PM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250901-0053,9/1/2025 4:18:58 PM,REG1,LG-CNDL-01,Magnolia Bay Soy Candle,Local Goods,2,24.00,48.00
T250901-0054,9/1/2025 4:35:39 PM,REG1,HG-PRINT-01,Marsh at Dusk Art Print,Home & Gifts,1,35.00,35.00
T250901-0055,9/1/2025 5:16:16 PM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0055,9/1/2025 5:16:16 PM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250901-0056,9/1/2025 5:34:52 PM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250901-0057,9/1/2025 5:53:38 PM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250901-0057,9/1/2025 5:53:38 PM,REG2,LG-PRALN-06,Pecan Pralines (6-pack),Local Goods,1,12.00,12.00
T250901-0057,9/1/2025 5:53:38 PM,REG2,AP-HAT-01,Pelican Trucker Hat,Apparel,1,24.00,24.00
T250901-0058,9/1/2025 5:57:01 PM,REG2,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0001,9/2/2025 7:16:19 AM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0002,9/2/2025 7:19:09 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250902-0003,9/2/2025 7:26:49 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250902-0003,9/2/2025 7:26:49 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0004,9/2/2025 7:31:42 AM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0004,9/2/2025 7:31:42 AM,REG2,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0004,9/2/2025 7:31:42 AM,REG2,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250902-0005,9/2/2025 7:33:36 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250902-0006,9/2/2025 7:52:32 AM,REG2,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,2,5.00,10.00
T250902-0007,9/2/2025 7:55:44 AM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,2,5.25,10.50
T250902-0008,9/2/2025 8:03:17 AM,REG2,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250902-0008,9/2/2025 8:03:17 AM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0009,9/2/2025 8:18:53 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0009,9/2/2025 8:18:53 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,2,4.75,9.50
T250902-0010,9/2/2025 8:21:29 AM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0011,9/2/2025 8:30:59 AM,REG2,HG-FRAME-01,Driftwood Picture Frame,Home & Gifts,1,28.00,28.00
T250902-0011,9/2/2025 8:30:59 AM,REG2,LG-HOTS-01,Bayou Heat Hot Sauce,Local Goods,1,7.50,7.50
T250902-0012,9/2/2025 8:35:08 AM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250902-0012,9/2/2025 8:35:08 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0012,9/2/2025 8:35:08 AM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0013,9/2/2025 8:57:23 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250902-0014,9/2/2025 9:04:43 AM,REG2,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,1,5.00,5.00
T250902-0014,9/2/2025 9:04:43 AM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0015,9/2/2025 9:13:22 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0016,9/2/2025 9:31:13 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0016,9/2/2025 9:31:13 AM,REG1,HG-BEADS-01,Mardi Gras Bead Garland,Home & Gifts,1,16.00,16.00
T250902-0017,9/2/2025 9:32:54 AM,REG2,CB-BEIG-03,Beignets (3),Coffee Bar,2,4.50,9.00
T250902-0018,9/2/2025 9:46:55 AM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,2,3.75,7.50
T250902-0019,9/2/2025 9:48:03 AM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0019,9/2/2025 9:48:03 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250902-0020,9/2/2025 10:24:05 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0021,9/2/2025 10:44:19 AM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250902-0021,9/2/2025 10:44:19 AM,REG1,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,1,5.00,5.00
T250902-0022,9/2/2025 10:47:16 AM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250902-0022,9/2/2025 10:47:16 AM,REG1,LG-HONEY-01,Tupelo Honey 12 oz,Local Goods,1,14.00,14.00
T250902-0023,9/2/2025 10:48:38 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0024,9/2/2025 10:54:51 AM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,2,3.25,6.50
T250902-0025,9/2/2025 11:13:40 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0026,9/2/2025 11:19:17 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0027,9/2/2025 11:29:57 AM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0027,9/2/2025 11:29:57 AM,REG1,HG-FRAME-01,Driftwood Picture Frame,Home & Gifts,1,28.00,28.00
T250902-0027,9/2/2025 11:29:57 AM,REG1,LG-PRALN-06,Pecan Pralines (6-pack),Local Goods,1,12.00,12.00
T250902-0028,9/2/2025 12:08:45 PM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0029,9/2/2025 12:10:19 PM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0029,9/2/2025 12:10:19 PM,REG2,AP-HOOD-01,Eastern Shore Hoodie,Apparel,2,48.00,96.00
T250902-0029,9/2/2025 12:10:19 PM,REG2,LG-SALT-01,Gulf Sea Salt,Local Goods,1,8.00,8.00
T250902-0030,9/2/2025 12:10:51 PM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0030,9/2/2025 12:10:51 PM,REG2,HG-COAST-04,Pelican Coaster Set (4),Home & Gifts,1,22.00,22.00
T250902-0030,9/2/2025 12:10:51 PM,REG2,LG-HOTS-01,Bayou Heat Hot Sauce,Local Goods,1,7.50,7.50
T250902-0031,9/2/2025 12:22:44 PM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250902-0031,9/2/2025 12:22:44 PM,REG1,AP-TOTE-01,Canvas Beach Tote,Apparel,1,30.00,30.00
T250902-0031,9/2/2025 12:22:44 PM,REG1,AP-KIDS-01,Kids Crab Tee,Apparel,3,20.00,60.00
T250902-0032,9/2/2025 12:52:17 PM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0033,9/2/2025 12:53:25 PM,REG2,AP-TOTE-01,Canvas Beach Tote,Apparel,1,30.00,30.00
T250902-0034,9/2/2025 1:05:42 PM,REG2,LG-PRALN-06,Pecan Pralines (6-pack),Local Goods,1,12.00,12.00
T250902-0034,9/2/2025 1:05:42 PM,REG2,LG-CNDL-01,Magnolia Bay Soy Candle,Local Goods,1,24.00,24.00
T250902-0035,9/2/2025 1:05:44 PM,REG1,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250902-0036,9/2/2025 1:15:48 PM,REG1,HG-TOWEL-01,Coastal Tea Towel,Home & Gifts,1,14.00,14.00
T250902-0037,9/2/2025 1:19:10 PM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0037,9/2/2025 1:19:10 PM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0037,9/2/2025 1:19:10 PM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0038,9/2/2025 1:19:48 PM,REG1,LG-HOTS-01,Bayou Heat Hot Sauce,Local Goods,1,7.50,7.50
T250902-0039,9/2/2025 1:38:34 PM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0040,9/2/2025 1:48:05 PM,REG1,HG-BEADS-01,Mardi Gras Bead Garland,Home & Gifts,1,16.00,16.00
T250902-0040,9/2/2025 1:48:05 PM,REG1,LG-SALT-01,Gulf Sea Salt,Local Goods,1,8.00,8.00
T250902-0041,9/2/2025 1:50:10 PM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0041,9/2/2025 1:50:10 PM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,2,3.25,6.50
T250902-0041,9/2/2025 1:50:10 PM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0042,9/2/2025 1:54:09 PM,REG2,LG-PRALN-06,Pecan Pralines (6-pack),Local Goods,1,12.00,12.00
T250902-0042,9/2/2025 1:54:09 PM,REG2,AP-TEE-01,Bayside Logo Tee,Apparel,1,26.00,26.00
T250902-0042,9/2/2025 1:54:09 PM,REG2,LG-CNDL-01,Magnolia Bay Soy Candle,Local Goods,1,24.00,24.00
T250902-0042,9/2/2025 1:54:09 PM,REG2,AP-HAT-01,Pelican Trucker Hat,Apparel,1,24.00,24.00
T250902-0043,9/2/2025 2:00:08 PM,REG1,HG-PRINT-01,Marsh at Dusk Art Print,Home & Gifts,1,35.00,35.00
T250902-0044,9/2/2025 2:08:46 PM,REG1,AP-KREWE-01,Krewe Tee,Apparel,1,28.00,28.00
T250902-0045,9/2/2025 2:10:37 PM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0045,9/2/2025 2:10:37 PM,REG1,HG-PRINT-01,Marsh at Dusk Art Print,Home & Gifts,1,35.00,35.00
T250902-0046,9/2/2025 2:22:55 PM,REG1,AP-KIDS-01,Kids Crab Tee,Apparel,1,20.00,20.00
T250902-0047,9/2/2025 2:28:28 PM,REG2,AP-TEE-01,Bayside Logo Tee,Apparel,1,26.00,26.00
T250902-0047,9/2/2025 2:28:28 PM,REG2,LG-HONEY-01,Tupelo Honey 12 oz,Local Goods,1,14.00,14.00
T250902-0048,9/2/2025 2:40:02 PM,REG2,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0048,9/2/2025 2:40:02 PM,REG2,CB-MUFF-01,Praline Muffin,Coffee Bar,1,3.75,3.75
T250902-0049,9/2/2025 2:41:23 PM,REG2,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0049,9/2/2025 2:41:23 PM,REG2,LG-HONEY-01,Tupelo Honey 12 oz,Local Goods,1,14.00,14.00
T250902-0049,9/2/2025 2:41:23 PM,REG2,HG-TOWEL-01,Coastal Tea Towel,Home & Gifts,1,14.00,14.00
T250902-0050,9/2/2025 2:42:33 PM,REG1,LG-MARM-01,Satsuma Marmalade,Local Goods,2,9.50,19.00
T250902-0050,9/2/2025 2:42:33 PM,REG1,AP-HAT-01,Pelican Trucker Hat,Apparel,1,24.00,24.00
T250902-0051,9/2/2025 3:05:47 PM,REG2,LG-MARM-01,Satsuma Marmalade,Local Goods,1,9.50,9.50
T250902-0052,9/2/2025 3:12:42 PM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
T250902-0053,9/2/2025 3:29:29 PM,REG1,AP-TEE-01,Bayside Logo Tee,Apparel,3,26.00,78.00
T250902-0053,9/2/2025 3:29:29 PM,REG1,HG-ORNA-01,Oyster Shell Ornament,Home & Gifts,1,18.00,18.00
T250902-0054,9/2/2025 3:44:09 PM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250902-0054,9/2/2025 3:44:09 PM,REG1,AP-TEE-01,Bayside Logo Tee,Apparel,1,26.00,26.00
T250902-0055,9/2/2025 3:50:45 PM,REG1,AP-HOOD-01,Eastern Shore Hoodie,Apparel,1,48.00,48.00
T250902-0056,9/2/2025 3:52:41 PM,REG1,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,1,5.00,5.00
T250902-0057,9/2/2025 3:59:29 PM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0057,9/2/2025 3:59:29 PM,REG2,LG-MARM-01,Satsuma Marmalade,Local Goods,1,9.50,9.50
T250902-0058,9/2/2025 4:21:47 PM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250902-0058,9/2/2025 4:21:47 PM,REG1,LG-CNDL-01,Magnolia Bay Soy Candle,Local Goods,1,24.00,24.00
T250902-0059,9/2/2025 4:59:04 PM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250902-0060,9/2/2025 5:00:07 PM,REG1,HG-COAST-04,Pelican Coaster Set (4),Home & Gifts,1,22.00,22.00
T250902-0061,9/2/2025 5:38:55 PM,REG1,LG-HONEY-01,Tupelo Honey 12 oz,Local Goods,1,14.00,14.00
T250902-0061,9/2/2025 5:38:55 PM,REG1,HG-COAST-04,Pelican Coaster Set (4),Home & Gifts,2,22.00,44.00
T250902-0062,9/2/2025 5:52:44 PM,REG2,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,1,5.00,5.00
T250902-0062,9/2/2025 5:52:44 PM,REG2,LG-PRALN-06,Pecan Pralines (6-pack),Local Goods,2,12.00,24.00
T250902-0062,9/2/2025 5:52:44 PM,REG2,LG-MARM-01,Satsuma Marmalade,Local Goods,1,9.50,9.50
T250903-0001,9/3/2025 7:03:40 AM,REG2,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250903-0002,9/3/2025 7:17:32 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250903-0003,9/3/2025 7:24:01 AM,REG1,CB-COLD-16,Cold Brew 16 oz,Coffee Bar,1,4.75,4.75
T250903-0003,9/3/2025 7:24:01 AM,REG1,HG-COAST-04,Pelican Coaster Set (4),Home & Gifts,1,22.00,22.00
T250903-0004,9/3/2025 7:36:00 AM,REG1,CB-CHAI-12,Chai Latte 12 oz,Coffee Bar,1,5.00,5.00
T250903-0005,9/3/2025 8:05:02 AM,REG1,CB-DRIP-12,"Drip Coffee, 12 oz",Coffee Bar,1,3.25,3.25
T250903-0005,9/3/2025 8:05:02 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250903-0006,9/3/2025 8:09:43 AM,REG1,CB-BEIG-03,Beignets (3),Coffee Bar,1,4.50,4.50
T250903-0007,9/3/2025 8:16:26 AM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,2,5.25,10.50
T250903-0007,9/3/2025 8:16:26 AM,REG1,LG-PRALN-06,Pecan Pralines (6-pack),Local Goods,1,12.00,12.00
T250903-0008,9/3/2025 8:20:28 AM,REG1,CB-LATTE-12,Latte 12 oz,Coffee Bar,1,5.25,5.25
